epoch,train_loss,train_acc,val_acc,epoch_time_sec,batch_time_mean_sec,batch_time_std_sec,memory_mb,gpu_mem_mb,gpu_util_pct,is_best
1,1.609882,0.493966,0.607416,22.45,0.003,0.0003,1344.0,49.3,89,True
2,1.425129,0.582561,0.608888,15.7,0.003,0.0003,1344.0,49.3,95,True
3,1.395074,0.588962,0.609476,15.73,0.003,0.0003,1344.0,49.3,94,True
4,1.369236,0.595879,0.575633,15.74,0.003,0.0003,1344.0,49.3,94,False
5,1.373391,0.594923,0.632725,15.72,0.0031,0.0003,1344.0,49.3,94,True
6,1.34875,0.603385,0.620954,15.72,0.0031,0.0003,1344.0,49.3,95,False
7,1.329718,0.608315,0.601825,15.75,0.0031,0.0003,1344.0,49.3,94,False
8,1.322414,0.611258,0.608005,15.75,0.0031,0.0003,1344.0,49.3,95,False
9,1.312508,0.611332,0.626839,15.7,0.0031,0.0003,1344.0,49.3,94,False
10,1.286897,0.623473,0.630077,15.7,0.0031,0.0003,1344.0,49.3,95,False
11,1.244858,0.635247,0.64744,15.73,0.0031,0.0003,1344.0,49.3,94,True
12,1.234981,0.636424,0.654208,15.71,0.0031,0.0003,1344.0,49.3,94,True
13,1.215353,0.642826,0.666569,15.74,0.0031,0.0003,1344.0,49.3,93,True
14,1.217411,0.645843,0.645968,15.72,0.0031,0.0003,1344.0,49.3,95,False
15,1.208858,0.645107,0.669217,15.72,0.0031,0.0003,1344.0,49.3,94,True
16,1.183558,0.650699,0.668629,15.7,0.0032,0.0003,1344.0,49.3,94,False
17,1.174341,0.655114,0.650383,15.71,0.0031,0.0003,1344.0,49.3,96,False
18,1.174945,0.653863,0.67422,15.69,0.0032,0.0003,1344.0,49.3,95,True
19,1.146871,0.667991,0.667157,15.69,0.0032,0.0003,1344.0,49.3,95,False
20,1.146224,0.668065,0.676574,15.69,0.0032,0.0003,1344.0,49.3,94,True
21,1.135529,0.671302,0.701001,15.67,0.0032,0.0003,1344.0,49.3,95,True
22,1.133503,0.672553,0.665097,15.68,0.0032,0.0003,1344.0,49.3,95,False
23,1.141974,0.671523,0.69276,15.67,0.0032,0.0003,1344.0,49.3,94,False
24,1.146127,0.671376,0.693349,15.67,0.0032,0.0003,1344.0,49.3,95,False
25,1.125406,0.678661,0.716009,15.67,0.0032,0.0003,1344.0,49.3,95,True
