epoch,train_loss,train_acc,val_acc,epoch_time_sec,batch_time_mean_sec,batch_time_std_sec,memory_mb,gpu_mem_mb,gpu_util_pct,is_best
1,1.366216,0.606107,0.675103,22.24,0.0034,0.0003,2922.4,49.3,92,True
2,1.025939,0.702428,0.710712,15.46,0.0035,0.0003,2922.4,49.3,96,True
3,0.928765,0.72855,0.721307,15.47,0.0035,0.0003,2922.4,49.3,97,True
4,0.874627,0.742016,0.737493,15.47,0.0036,0.0004,2922.4,49.3,96,True
5,0.831401,0.753127,0.74691,15.5,0.0036,0.0003,2922.4,49.3,97,True
6,0.793883,0.766446,0.739553,15.48,0.0037,0.0003,2922.4,49.3,97,False
7,0.761372,0.771597,0.747499,15.53,0.0037,0.0003,2922.4,49.3,97,True
8,0.737935,0.779617,0.751913,15.53,0.0038,0.0003,2922.4,49.3,97,True
9,0.700855,0.791538,0.764567,15.49,0.0038,0.0004,2922.4,49.3,97,True
10,0.673273,0.799558,0.768099,15.52,0.0039,0.0003,2922.4,49.3,97,True
11,0.637399,0.80986,0.762213,15.53,0.0039,0.0004,2922.4,49.3,97,False
12,0.598999,0.820824,0.763096,15.52,0.0039,0.0003,2922.4,49.3,97,False
13,0.561968,0.830611,0.76957,15.5,0.0039,0.0004,2922.4,49.3,96,True
14,0.519457,0.844444,0.749853,15.49,0.0039,0.0004,2922.4,49.3,96,False
15,0.470789,0.861295,0.768982,15.52,0.0039,0.0003,2922.4,49.3,96,False
16,0.433753,0.868727,0.773396,15.52,0.0039,0.0004,2922.4,49.3,97,True
17,0.397371,0.880648,0.77369,15.5,0.0039,0.0004,2922.4,49.3,97,True
18,0.367168,0.890949,0.763685,15.51,0.0039,0.0003,2922.4,49.3,97,False
19,0.306262,0.907211,0.764862,15.53,0.0039,0.0004,2922.4,49.3,97,False
20,0.290636,0.911921,0.764273,15.56,0.0039,0.0004,2922.4,49.3,97,False
21,0.242217,0.929213,0.760447,15.54,0.0039,0.0004,2922.4,49.3,97,False
22,0.210463,0.93819,0.762213,15.55,0.004,0.0004,2922.4,49.3,95,False
23,0.179076,0.94702,0.738081,15.56,0.0039,0.0003,2922.4,49.3,96,False
24,0.160789,0.955114,0.76545,15.54,0.0039,0.0004,2922.4,49.3,97,False
25,0.134539,0.961221,0.754267,15.56,0.0039,0.0004,2922.4,49.3,97,False
