epoch,train_loss,train_acc,val_acc,epoch_time_sec,batch_time_mean_sec,batch_time_std_sec,memory_mb,gpu_mem_mb,gpu_util_pct,is_best
1,1.32862,0.611773,0.634785,22.49,0.003,0.0003,1343.9,49.3,88,True
2,1.103451,0.673878,0.68246,15.77,0.003,0.0003,1343.9,49.3,94,True
3,1.057407,0.689919,0.705709,15.75,0.003,0.0003,1343.9,49.3,95,True
4,1.02008,0.702796,0.716892,15.76,0.0031,0.0003,1343.9,49.3,94,True
5,0.989756,0.711258,0.683637,15.77,0.0031,0.0003,1343.9,49.3,95,False
6,0.975841,0.714496,0.726015,15.77,0.0031,0.0003,1343.9,49.3,95,True
7,0.952557,0.724945,0.717187,15.77,0.0031,0.0003,1343.9,49.3,95,False
8,0.949007,0.721707,0.731607,15.79,0.0031,0.0003,1343.9,49.3,94,True
9,0.934779,0.724798,0.718658,15.8,0.0031,0.0003,1343.9,49.3,94,False
10,0.91946,0.735835,0.710418,15.76,0.0031,0.0003,1343.9,49.3,95,False
11,0.910859,0.731199,0.731018,15.78,0.0032,0.0003,1343.9,49.3,94,False
12,0.901556,0.735762,0.732784,15.78,0.0031,0.0003,1343.9,49.3,95,True
13,0.905497,0.735394,0.746321,15.79,0.0031,0.0003,1343.9,49.3,94,True
14,0.875897,0.746505,0.728664,15.76,0.0031,0.0003,1343.9,49.3,94,False
15,0.863153,0.746358,0.731901,15.8,0.0031,0.0003,1343.9,49.3,95,False
16,0.846886,0.753642,0.738376,15.78,0.0031,0.0003,1343.9,49.3,95,False
17,0.835246,0.752097,0.745144,15.8,0.0031,0.0003,1343.9,49.3,94,False
18,0.81161,0.75872,0.74073,15.77,0.0032,0.0003,1343.9,49.3,95,False
19,0.798388,0.760412,0.704532,15.78,0.0031,0.0003,1343.9,49.3,94,False
20,0.786273,0.769242,0.761919,15.8,0.0031,0.0003,1343.9,49.3,95,True
21,0.777596,0.767403,0.737787,15.81,0.0031,0.0003,1343.9,49.3,95,False
22,0.76321,0.774025,0.746321,15.78,0.0032,0.0003,1343.9,49.3,95,False
23,0.754104,0.774467,0.760153,15.78,0.0031,0.0003,1343.9,49.3,95,False
24,0.74243,0.775497,0.752796,15.78,0.0031,0.0003,1343.9,49.3,94,False
25,0.73245,0.779765,0.762213,15.78,0.0032,0.0003,1343.9,49.3,96,True
