epoch,train_loss,train_acc,val_acc,epoch_time_sec,batch_time_mean_sec,batch_time_std_sec,memory_mb,gpu_mem_mb,gpu_util_pct,is_best
1,1.26281,0.635688,0.705121,22.61,0.003,0.0003,1850.0,49.3,91,True
2,0.99053,0.712436,0.719541,15.91,0.003,0.0002,1850.0,49.3,95,True
3,0.901254,0.73613,0.741318,15.89,0.003,0.0002,1850.1,49.3,95,True
4,0.855714,0.748492,0.740436,15.91,0.0031,0.0003,1850.1,49.3,94,False
5,0.809582,0.761074,0.747499,16.1,0.0031,0.0003,1850.1,49.3,95,True
6,0.776878,0.768801,0.756622,16.09,0.0031,0.0003,1850.1,49.3,94,True
7,0.739362,0.777851,0.750736,16.04,0.0032,0.0003,1850.1,49.3,93,False
8,0.707029,0.787049,0.756327,16.04,0.0032,0.0003,1850.1,49.3,96,False
9,0.667975,0.797498,0.764862,15.95,0.0032,0.0003,1850.1,49.3,94,True
10,0.631958,0.810228,0.76133,15.93,0.0032,0.0002,1850.1,49.3,94,False
11,0.587,0.822075,0.761036,15.93,0.0032,0.0003,1850.2,49.3,95,False
12,0.552909,0.832671,0.761624,15.93,0.0032,0.0003,1850.5,49.3,94,False
13,0.50884,0.844665,0.769865,15.91,0.0032,0.0003,1850.5,49.3,95,True
14,0.468908,0.859014,0.761919,15.93,0.0032,0.0003,1850.5,49.3,95,False
15,0.417752,0.874319,0.771336,15.92,0.0032,0.0003,1850.5,49.3,96,True
16,0.371956,0.888521,0.768687,15.97,0.0032,0.0003,1850.4,49.3,95,False
17,0.329845,0.900515,0.768687,15.94,0.0032,0.0002,1850.4,49.3,95,False
18,0.28938,0.911405,0.737787,15.94,0.0032,0.0003,1850.4,49.3,95,False
19,0.251732,0.924356,0.758093,15.95,0.0032,0.0003,1850.5,49.3,94,False
20,0.210989,0.935099,0.767216,15.93,0.0032,0.0003,1850.5,49.3,94,False
21,0.195321,0.939146,0.759859,15.93,0.0032,0.0003,1850.5,49.3,94,False
22,0.152699,0.955556,0.747499,15.97,0.0032,0.0003,1850.5,49.3,94,False
23,0.135295,0.959676,0.743084,15.94,0.0032,0.0003,1850.5,49.3,95,False
24,0.133409,0.959529,0.74897,15.94,0.0032,0.0003,1850.5,49.3,96,False
25,0.104507,0.967108,0.756033,15.94,0.0032,0.0003,1850.5,49.3,95,False
