Run started: 2026-05-06T16:28:52.125271
Config: {"run_label": "baseline_overfit", "epochs": 50, "batch_size": 128, "lr": 0.001, "rnn_hidden": 128, "val_split": 0.2, "n_classes": 16, "weight_decay": 0.0, "workers": 16, "data_dir": "data", "dataset_size": 16988}
--------------------------------------------------------------------------------
Epoch   1 | Loss: 1.3814 | Train: 0.5982 | Val: 0.6719 | Time: 57.6s | Batch: 0.053s | RAM: 2836 MB | GPU: 89 MB 98% *
Epoch  38 | Loss: 0.0918 | Train: 0.9720 | Val: 0.7540 | Time: 16.9s | Batch: 0.005s | RAM: 2760 MB | GPU: 89 MB 99%
Epoch  39 | Loss: 0.0794 | Train: 0.9760 | Val: 0.7410 | Time: 16.7s | Batch: 0.005s | RAM: 2760 MB | GPU: 89 MB 99%
Epoch  40 | Loss: 0.0779 | Train: 0.9759 | Val: 0.7487 | Time: 16.7s | Batch: 0.005s | RAM: 2760 MB | GPU: 89 MB 99%
Epoch  41 | Loss: 0.0645 | Train: 0.9801 | Val: 0.7457 | Time: 16.7s | Batch: 0.005s | RAM: 2760 MB | GPU: 89 MB 99%
Epoch  42 | Loss: 0.0520 | Train: 0.9857 | Val: 0.7366 | Time: 16.9s | Batch: 0.005s | RAM: 2760 MB | GPU: 89 MB 99%
Epoch  43 | Loss: 0.1239 | Train: 0.9598 | Val: 0.7372 | Time: 17.1s | Batch: 0.005s | RAM: 2760 MB | GPU: 89 MB 99%
Epoch  44 | Loss: 0.0553 | Train: 0.9836 | Val: 0.7446 | Time: 17.1s | Batch: 0.005s | RAM: 2760 MB | GPU: 89 MB 99%
Epoch  45 | Loss: 0.0744 | Train: 0.9776 | Val: 0.7478 | Time: 16.8s | Batch: 0.005s | RAM: 2730 MB | GPU: 89 MB 99%
Epoch  46 | Loss: 0.0894 | Train: 0.9719 | Val: 0.7410 | Time: 16.9s | Batch: 0.005s | RAM: 2730 MB | GPU: 89 MB 99%
Epoch  47 | Loss: 0.0807 | Train: 0.9752 | Val: 0.7516 | Time: 16.9s | Batch: 0.005s | RAM: 2731 MB | GPU: 89 MB 99%
Epoch  48 | Loss: 0.0400 | Train: 0.9876 | Val: 0.7496 | Time: 16.9s | Batch: 0.005s | RAM: 2731 MB | GPU: 89 MB 99%
Epoch  49 | Loss: 0.0354 | Train: 0.9897 | Val: 0.7566 | Time: 16.8s | Batch: 0.005s | RAM: 2731 MB | GPU: 89 MB 99%
Epoch  50 | Loss: 0.0305 | Train: 0.9922 | Val: 0.7572 | Time: 16.9s | Batch: 0.005s | RAM: 2731 MB | GPU: 89 MB 99%
Val metrics | macro_f1=0.4493 | weighted_f1=0.7456 | balanced_acc=0.4336
--------------------------------------------------------------------------------
Run complete | best_val_acc=0.7657 at epoch 16 | total=888.8s | peak_mem=2836 MB
Artifacts: results\baseline_overfit_20260506_162852
