epoch,train_loss,train_acc,val_acc,epoch_time_sec,batch_time_mean_sec,batch_time_std_sec,memory_mb,gpu_mem_mb,gpu_util_pct,is_best
1,1.475975,0.58028,0.646263,23.71,0.0124,0.0781,2917.7,88.9,99,True
2,1.099963,0.679544,0.713949,15.61,0.0049,0.0004,2918.0,88.9,92,True
3,0.976756,0.718764,0.715715,15.56,0.005,0.0004,2918.0,88.9,97,True
4,0.915568,0.735394,0.72631,15.55,0.005,0.001,2918.0,88.9,98,True
5,0.86423,0.745107,0.735433,15.58,0.005,0.0004,2918.0,88.9,97,True
6,0.828204,0.757248,0.747499,15.53,0.0052,0.0011,2918.0,88.9,98,True
7,0.80724,0.764386,0.724544,15.57,0.0052,0.0005,2918.0,88.9,97,False
8,0.771485,0.770272,0.75103,15.61,0.0053,0.0005,2918.0,88.9,99,True
9,0.729278,0.783812,0.751324,15.6,0.0054,0.0013,2918.0,88.9,99,True
10,0.707929,0.791244,0.758387,15.55,0.0053,0.0006,2918.0,88.9,96,True
11,0.672188,0.798602,0.765745,15.6,0.0055,0.0014,2918.0,88.9,98,True
12,0.649845,0.80677,0.767216,15.59,0.0054,0.0006,2918.0,88.9,97,True
13,0.619158,0.818175,0.76545,15.58,0.0054,0.0006,2918.0,88.9,97,False
14,0.599124,0.8195,0.772219,15.62,0.0055,0.0013,2918.0,88.9,99,True
15,0.549929,0.835394,0.756916,15.59,0.0054,0.0006,2918.0,88.9,99,False
16,0.506304,0.849375,0.760742,15.53,0.0055,0.0012,2918.0,88.9,94,False
17,0.499935,0.850773,0.759859,15.57,0.0055,0.0006,2918.0,88.9,94,False
18,0.445706,0.869831,0.753384,15.58,0.0055,0.0006,2918.0,88.9,97,False
19,0.410679,0.878882,0.759859,15.59,0.0055,0.0006,2918.0,88.9,89,False
20,0.383354,0.883149,0.771336,15.61,0.0055,0.0006,2918.0,88.9,99,False
21,0.336653,0.900147,0.748381,15.55,0.0057,0.0016,2918.0,88.9,99,False
22,0.291075,0.914128,0.761624,15.6,0.0055,0.0005,2918.0,88.9,94,False
23,0.259915,0.924356,0.758093,15.61,0.0055,0.0006,2918.0,88.9,98,False
24,0.260146,0.922958,0.711595,15.6,0.0054,0.0006,2918.0,88.9,97,False
25,0.216618,0.934658,0.751913,15.62,0.0055,0.0006,2918.0,88.9,99,False
