epoch,train_loss,train_acc,val_acc,epoch_time_sec,batch_time_mean_sec,batch_time_std_sec,memory_mb,gpu_mem_mb,gpu_util_pct,is_best
1,1.281825,0.63223,0.679517,23.57,0.0076,0.0005,2931.7,78.0,95,True
2,0.992685,0.710228,0.714244,16.92,0.0076,0.0004,2931.8,78.0,95,True
3,0.911155,0.730684,0.733961,16.93,0.0076,0.0005,2931.8,78.0,93,True
4,0.859964,0.745916,0.744556,16.88,0.0077,0.0004,2931.8,78.0,93,True
5,0.817704,0.757984,0.730135,16.9,0.0077,0.0005,2931.8,78.0,94,False
6,0.79106,0.76387,0.746321,16.93,0.0078,0.0005,2931.8,78.0,94,True
7,0.744437,0.77844,0.749559,16.91,0.0078,0.0005,2931.8,78.0,94,True
8,0.707829,0.788595,0.766039,4504.19,21.1009,307.0956,15184.2,78.0,78,True
9,0.682938,0.792715,0.758093,17.33,0.0075,0.0011,11555.8,78.0,93,False
10,0.633228,0.812509,0.765745,17.94,0.0081,0.001,9281.2,78.0,92,False
11,0.590774,0.821707,0.768982,17.1,0.008,0.001,7847.3,78.0,94,True
12,0.550586,0.835099,0.768393,17.36,0.008,0.001,6702.2,78.0,93,False
13,0.502063,0.848565,0.731313,17.75,0.0079,0.0009,5600.0,78.0,93,False
14,0.465582,0.857395,0.771925,17.43,0.0077,0.0006,4723.3,78.0,92,True
15,0.414576,0.875717,0.76957,17.17,0.0078,0.0005,4036.7,78.0,94,False
16,0.353385,0.89426,0.76957,17.14,0.0078,0.0005,3442.4,78.0,94,False
17,0.295821,0.913466,0.76957,17.16,0.0078,0.0004,2967.3,78.0,94,False
18,0.268335,0.919205,0.76751,17.53,0.0078,0.0005,2567.2,78.0,93,False
19,0.233697,0.927888,0.761919,17.17,0.0079,0.0006,2279.3,78.0,93,False
20,0.169173,0.948639,0.765745,17.39,0.0077,0.0005,2279.3,78.0,94,False
21,0.138275,0.958499,0.761036,17.24,0.0078,0.0006,2156.6,78.0,95,False
22,0.125721,0.962546,0.76339,17.17,0.0078,0.0005,1872.8,78.0,94,False
23,0.105047,0.968801,0.750736,17.22,0.0079,0.0004,1652.2,78.0,92,False
24,0.097353,0.97064,0.763096,17.24,0.0079,0.0006,1566.5,78.0,93,False
25,0.091469,0.973216,0.762213,17.07,0.0079,0.0005,1485.7,78.0,93,False
