epoch,train_loss,train_acc,val_acc,epoch_time_sec,batch_time_mean_sec,batch_time_std_sec,memory_mb,gpu_mem_mb,gpu_util_pct,is_best
1,1.254851,0.63716,0.696292,25.39,0.0077,0.0019,469.0,144.9,94,True
2,0.986743,0.712436,0.719541,17.8,0.0076,0.0004,465.3,144.9,95,True
3,0.908183,0.731052,0.733373,17.72,0.0075,0.0006,465.3,144.9,95,True
4,0.8597,0.747682,0.730135,17.86,0.0075,0.0004,465.3,144.9,94,False
5,0.814282,0.756439,0.749264,17.74,0.0076,0.0005,465.3,144.9,95,True
6,0.769533,0.770199,0.758976,17.76,0.0077,0.0005,465.3,144.9,95,True
7,0.729696,0.780868,0.745733,17.8,0.0077,0.0007,465.3,144.9,96,False
8,0.704875,0.787564,0.754856,18.16,0.0077,0.0005,465.3,144.9,94,False
9,0.671657,0.799043,0.753973,17.85,0.0079,0.0005,465.3,144.9,96,False
10,0.621807,0.811553,0.77369,18.02,0.0078,0.0004,465.3,144.9,96,True
11,0.585344,0.821854,0.772513,18.05,0.0078,0.0005,465.3,144.9,96,False
12,0.531792,0.841133,0.766922,17.85,0.0079,0.0007,465.3,144.9,93,False
13,0.488355,0.851508,0.754267,17.82,0.0079,0.0005,465.3,144.9,94,False
14,0.444484,0.866299,0.761036,17.94,0.0078,0.0005,465.3,144.9,95,False
15,0.378066,0.885725,0.754267,17.77,0.0079,0.0005,465.3,144.9,95,False
16,0.310632,0.903017,0.776045,17.87,0.0078,0.0005,465.3,144.9,95,True
17,0.265722,0.914643,0.759859,17.79,0.0079,0.0006,465.3,144.9,95,False
18,0.216539,0.931199,0.76751,17.82,0.0078,0.0004,465.3,144.9,94,False
19,0.176579,0.945475,0.763685,17.78,0.0078,0.0006,465.3,144.9,94,False
20,0.162579,0.948271,0.76957,17.86,0.0078,0.0005,465.3,144.9,96,False
21,0.122777,0.961148,0.758682,17.96,0.0078,0.0006,465.3,144.9,96,False
22,0.092297,0.973436,0.761919,18.45,0.0078,0.0004,465.3,144.9,94,False
23,0.095657,0.971744,0.763096,17.91,0.0079,0.0004,465.3,144.9,94,False
24,0.111027,0.964459,0.76957,17.82,0.0079,0.0005,465.3,144.9,95,False
25,0.056298,0.983297,0.733373,17.84,0.0079,0.0006,465.3,144.9,96,False
