epoch,train_loss,train_acc,val_acc,epoch_time_sec,batch_time_mean_sec,batch_time_std_sec,memory_mb,gpu_mem_mb,gpu_util_pct,is_best
1,1.248343,0.638779,0.703649,22.48,0.003,0.0003,1344.0,49.3,89,True
2,0.980569,0.712141,0.731018,15.73,0.003,0.0003,1344.0,49.3,95,True
3,0.901527,0.734364,0.730135,15.73,0.003,0.0003,1344.0,49.3,94,False
4,0.847752,0.749448,0.746027,15.76,0.0031,0.0003,1344.0,49.3,95,True
5,0.814029,0.758572,0.74691,15.76,0.0031,0.0003,1344.0,49.3,95,True
6,0.78051,0.767918,0.753679,15.77,0.0031,0.0003,1344.0,49.3,94,True
7,0.742765,0.778514,0.74897,15.77,0.0031,0.0003,1344.0,49.3,95,False
8,0.709232,0.787417,0.74897,15.77,0.0031,0.0003,1344.0,49.3,95,False
9,0.679278,0.792789,0.750736,15.8,0.0031,0.0003,1344.0,49.3,95,False
10,0.639829,0.808462,0.765745,15.79,0.0031,0.0003,1344.0,49.3,95,True
11,0.606065,0.816998,0.755739,15.78,0.0031,0.0003,1344.0,49.3,95,False
12,0.559191,0.834364,0.763096,15.77,0.0032,0.0003,1344.0,49.3,95,False
13,0.53672,0.838999,0.755444,15.78,0.0032,0.0003,1344.0,49.3,95,False
14,0.480479,0.858352,0.754267,15.78,0.0031,0.0003,1344.0,49.3,95,False
15,0.428746,0.872848,0.759859,15.78,0.0032,0.0003,1344.0,49.3,95,False
16,0.381722,0.884327,0.762507,15.77,0.0032,0.0003,1344.0,49.3,95,False
17,0.336531,0.897866,0.762507,15.8,0.0032,0.0003,1344.0,49.3,94,False
18,0.281413,0.914275,0.76133,15.78,0.0032,0.0003,1344.0,49.3,95,False
19,0.253936,0.922737,0.760742,15.8,0.0032,0.0003,1344.0,49.3,95,False
20,0.21843,0.932156,0.75515,15.78,0.0032,0.0003,1344.0,49.3,95,False
21,0.17572,0.947682,0.75721,15.8,0.0032,0.0003,1344.0,49.3,95,False
22,0.150513,0.954378,0.735727,15.79,0.0032,0.0003,1344.0,49.3,95,False
23,0.141151,0.95688,0.746027,15.78,0.0032,0.0003,1344.0,49.3,95,False
24,0.124376,0.961074,0.75309,15.8,0.0032,0.0003,1344.0,49.3,95,False
25,0.092265,0.973878,0.760447,15.78,0.0032,0.0003,1344.0,49.3,95,False
