epoch,train_loss,train_acc,val_acc,epoch_time_sec,batch_time_mean_sec,batch_time_std_sec,memory_mb,gpu_mem_mb,gpu_util_pct,is_best
1,1.271136,0.626196,0.692172,22.63,0.003,0.0003,1853.9,49.3,91,True
2,1.011829,0.705592,0.710418,15.88,0.003,0.0003,1853.9,49.3,95,True
3,0.947873,0.722001,0.711301,15.93,0.003,0.0003,1343.6,49.3,94,True
4,0.907906,0.734879,0.735727,15.93,0.003,0.0003,1343.6,49.3,95,True
5,0.873899,0.743856,0.702766,15.94,0.0031,0.0003,1343.6,49.3,94,False
6,0.862344,0.748197,0.735433,15.93,0.0031,0.0003,1343.6,49.3,94,False
7,0.843151,0.754893,0.752501,15.93,0.0031,0.0003,1343.6,49.3,94,True
8,0.824016,0.755408,0.752207,15.93,0.0031,0.0003,1343.6,49.3,95,False
9,0.808013,0.761957,0.736315,15.93,0.0031,0.0003,1343.7,49.3,95,False
10,0.785637,0.767403,0.745438,15.94,0.0032,0.0003,1343.7,49.3,95,False
11,0.766731,0.771155,0.753973,15.94,0.0032,0.0003,1343.7,49.3,94,True
12,0.750612,0.780206,0.761624,15.94,0.0032,0.0003,1343.7,49.3,94,True
13,0.748526,0.779176,0.760742,15.94,0.0032,0.0003,1343.7,49.3,95,False
14,0.718786,0.783591,0.764567,15.95,0.0032,0.0003,1343.7,49.3,95,True
15,0.691928,0.789257,0.76545,15.92,0.0032,0.0003,1343.7,49.3,95,True
16,0.680281,0.79404,0.764862,15.95,0.0032,0.0003,1343.7,49.3,94,False
17,0.6646,0.799411,0.766333,15.92,0.0032,0.0003,1343.7,49.3,95,True
18,0.631768,0.805445,0.760153,15.95,0.0032,0.0003,1343.7,49.3,95,False
19,0.620593,0.809124,0.745733,15.94,0.0032,0.0003,1343.7,49.3,95,False
20,0.590087,0.818249,0.755739,15.93,0.0032,0.0003,1343.7,49.3,94,False
21,0.567015,0.823326,0.762507,15.78,0.0032,0.0003,1343.7,49.3,94,False
22,0.53065,0.836939,0.73867,15.78,0.0032,0.0003,1343.7,49.3,95,False
23,0.501236,0.844739,0.763685,15.81,0.0032,0.0003,1343.7,49.3,95,False
24,0.466462,0.854452,0.755444,15.8,0.0032,0.0003,1343.7,49.3,95,False
25,0.45287,0.857984,0.756622,15.8,0.0032,0.0003,1343.7,49.3,95,False
