Run started: 2026-05-07T17:26:54.857219
Config: {"run_label": "optimized_weighted", "epochs": 50, "batch_size": 64, "lr": 0.0003, "rnn_hidden": 512, "val_split": 0.2, "n_classes": 16, "weight_decay": 0.0001, "workers": 8, "data_dir": "data", "dataset_size": 16988}
--------------------------------------------------------------------------------
Epoch  38 | Loss: 0.1591 | Train: 0.8611 | Val: 0.7169 | Time: 18.0s | Batch: 0.008s | RAM: 2142 MB | GPU: 145 MB 95%
Epoch  39 | Loss: 0.0789 | Train: 0.9184 | Val: 0.7404 | Time: 18.0s | Batch: 0.008s | RAM: 2142 MB | GPU: 145 MB 95%
Epoch  40 | Loss: 0.0846 | Train: 0.9215 | Val: 0.7269 | Time: 18.0s | Batch: 0.008s | RAM: 2142 MB | GPU: 145 MB 95%
Epoch  41 | Loss: 0.0985 | Train: 0.9116 | Val: 0.7410 | Time: 18.0s | Batch: 0.008s | RAM: 2142 MB | GPU: 145 MB 96%
Epoch  42 | Loss: 0.1375 | Train: 0.8929 | Val: 0.6009 | Time: 18.1s | Batch: 0.008s | RAM: 2142 MB | GPU: 145 MB 96%
Epoch  43 | Loss: 0.1595 | Train: 0.8714 | Val: 0.7410 | Time: 18.0s | Batch: 0.008s | RAM: 2142 MB | GPU: 145 MB 95%
Epoch  44 | Loss: 0.1299 | Train: 0.8941 | Val: 0.7413 | Time: 18.1s | Batch: 0.008s | RAM: 2142 MB | GPU: 145 MB 96%
Epoch  45 | Loss: 0.0994 | Train: 0.9103 | Val: 0.7422 | Time: 18.0s | Batch: 0.008s | RAM: 2142 MB | GPU: 145 MB 96%
Epoch  46 | Loss: 0.0520 | Train: 0.9439 | Val: 0.7554 | Time: 18.0s | Batch: 0.008s | RAM: 1215 MB | GPU: 145 MB 95% *
Epoch  47 | Loss: 0.0326 | Train: 0.9623 | Val: 0.7616 | Time: 18.1s | Batch: 0.008s | RAM: 1215 MB | GPU: 145 MB 95% *
Epoch  48 | Loss: 0.0249 | Train: 0.9726 | Val: 0.7566 | Time: 18.0s | Batch: 0.008s | RAM: 1215 MB | GPU: 145 MB 95%
Epoch  49 | Loss: 0.0242 | Train: 0.9743 | Val: 0.7646 | Time: 18.0s | Batch: 0.008s | RAM: 1215 MB | GPU: 145 MB 92% *
Epoch  50 | Loss: 0.0394 | Train: 0.9581 | Val: 0.7546 | Time: 18.0s | Batch: 0.008s | RAM: 1215 MB | GPU: 145 MB 94%
Confusion matrix saved to results\optimized_weighted_20260507_172654\confusion_matrix.csv
Val metrics | macro_f1=0.4899 | weighted_f1=0.7440 | balanced_acc=0.4745
--------------------------------------------------------------------------------
Run complete | best_val_acc=0.7646 at epoch 49 | total=920.0s | peak_mem=2515 MB
Artifacts: results\optimized_weighted_20260507_172654
